,S207,S327,S352,S364,S365,S366,S404,S413,S429,C006,C343,C363,C374,C376,C430,C227
200058_s_at,-0.1380112854318556,0.20881724931122925,0.004597665117596961,-0.0861109914614806,0.2715179184411358,0.034212911407743185,-0.18464911490092373,-0.3395548604853049,-0.21180703689035596,0.5013815433514122,-0.006095906561800035,-0.6065202388362962,0.581596221628299,-0.06096735505561046,0.3029951065099663,0.018953827371363197
200059_s_at,-0.1285721151218997,0.2450875718562049,-0.1261812449767019,0.1559679197278223,0.1356867556487309,0.02736806120792501,0.11995890529321329,-0.2506504384564323,-0.2035828796002246,0.5974856232012753,0.03429734501467152,-0.5873151633253668,0.4325518442746805,-0.013296342701657693,-0.02277873835437827,0.14951562293087317
200060_s_at,-0.23171046283556151,-0.07766798373689365,-0.043421191919035707,0.013150822460040068,0.18924301028255908,0.1360891620345237,0.01547446520050233,-0.11272605026953819,-0.11988455140273668,0.24304719908968764,0.2462861243606893,-0.4984580249818187,0.6593987795404832,-0.01109884498367375,0.2554487381285373,-0.08536042998560234
200061_s_at,-0.42731071824672817,0.2010892487179099,-0.025390772381410187,0.08269753200671381,0.2927433642397421,0.11314494864616087,-0.3035960565826059,0.054912014159102185,-0.2594887830341879,1.0780269847386394,0.08036209650345683,-0.9047546131653244,0.8084413436707933,-0.024959736623399564,-0.008577466096316044,0.18487670215176077
200062_s_at,-0.33569067309015743,0.2294666687780893,-0.1102557087858358,0.1308847806916944,0.3702149521128977,0.09158005380315792,-0.2034816308104137,0.027511793794698036,-0.20635201737417042,0.8373264298998011,0.051541966916369475,-0.7774408359817269,0.659830170578191,-0.03378977412820383,-0.05006205819517717,0.17653190584664102
200063_s_at,-0.5053262537005416,0.3241915584924264,0.05818562462189014,-0.17050840187794059,0.28250837171518306,0.3268859517317493,-0.23146419410421082,-0.01096124315861502,-0.37654810068223465,0.6697201643427224,0.25569503271080674,-0.923263878462306,0.8205384028834395,0.07354557203685186,0.1418768137201889,0.049659470194781896
200064_at,-0.25338597903789584,0.48621116625441996,-0.07730656436951655,-0.018413636688022095,0.006582937254511201,0.1175040515574377,-0.03914597892079463,-0.13769885102315804,-0.29475203834253527,0.43353597749688344,-0.08342448234658839,-0.6916488937456409,0.5745187900501065,0.15165712081216576,-0.12813989245432555,-0.09645959122854642
200065_s_at,-0.02805982549422481,0.13445984111106934,-0.021066704806757208,0.020706440985468255,0.10329424999485237,0.2353195646006503,-0.008345248521616888,-0.13160275171811708,-0.16622487206420544,0.308293763823297,-0.08042862713142274,-0.5410632346257236,0.4459555194119016,-0.008391995397234453,0.14803676331673632,-0.03384091074915485
200066_at,0.308305916868747,-0.24455647780874035,-0.08955831720184726,-0.3062779566668752,0.03892614607654732,0.021505727208965375,-0.03569967112525241,-0.06603792880348536,-0.03717928624032929,0.38182055171652163,0.3150263241425417,-0.30256338313632103,0.4251479286228621,-0.24314699776395443,-0.2272269514234555,-0.19120353392045608
200067_x_at,-0.33802891721299755,0.2434092300994557,0.18970074828223993,0.018980298855093558,0.2678977956472748,0.32626488522666897,0.08700322903914426,0.005910306280574318,0.059925264942244816,0.2584423886663689,-0.0038798453807897815,-0.9185899941614126,0.6023128684491459,-0.17872827961497162,-0.12039441670192286,0.01476592913523156
200068_s_at,-0.24695768002494756,0.1900650874392511,0.2288696888368138,0.1971258636145956,0.024778648165662,0.2127912562870229,-0.31650733947244714,0.11410594182268596,-0.2458701396074483,0.1922415507742583,-0.03461129880777403,-0.550532711226495,0.00023697899833141634,0.2712181638543516,-0.08204415774723728,0.11737156174997487
200069_at,0.4160736058545127,0.15610536150174514,-0.0954269261524141,0.07017510684655281,0.16593458914476455,0.34231865583325227,-0.09506533379919269,-0.25642197517549903,-0.15737395491718864,0.00017273069555967524,0.15537645167612313,-0.13662577117056207,0.505380398715892,-0.29660399312167396,-0.1671071893348426,0.4798002108957129
200070_at,-0.20352929209156656,0.047999377340523175,0.13117875093810394,0.09148737533086493,-0.09133630476182741,0.48568215000454273,-0.09994419844161229,-0.19203416474027168,-0.4953094663232891,0.015499987981756114,-0.1860830177706827,-0.20817384610487188,0.20001375611859729,-0.014021598827927306,0.18701414799438965,0.10908124408524866
200071_at,-0.4486361246599202,0.10859888658451844,0.22162803979927892,-0.2423490247308191,0.13074569805703629,0.5036715106041538,0.5843649118410275,0.2150747357269136,0.033399903597587155,-0.3538554505749527,0.3603576759703673,0.09055615393691507,0.4820291526571019,-0.044318135733292685,-0.0549551310594909,0.28927528409339276
200072_s_at,-0.2393116359478462,0.3003551370989923,-0.003988589943450194,-0.2720989735810466,0.3712690735395334,0.07289678040452241,0.39886406693299925,-0.20889885796604535,-0.1315062004015637,0.19559221532116577,0.1447038782771104,-0.5911125786334104,0.6581986658555481,0.1545037591317202,0.011114035172385961,0.23610330846480387
200073_s_at,-0.304562174570731,0.15874659805298474,-0.044608014506065885,0.10653934156703393,0.3549022148124754,-0.06630468829176372,0.34124214036202716,0.049388546358949625,-0.12133036322413826,0.16304699078767282,-0.05516492825544361,-0.6443297922891178,0.9070106330385874,0.036476414182517125,-0.14112287275941693,-0.06311114816066432
200074_s_at,-0.558676952176409,0.16274642592613464,-0.09776672906804773,-0.06063625648685367,0.26772941355112945,0.214696389747707,-0.33571062522501904,0.026327260203853342,-0.34658583887402283,0.8034289201645795,0.17161829191788502,-0.784743876895071,0.7903349712921202,-0.052454848958996436,-0.04832124426326878,0.034783276507377
200075_s_at,0.09297540263848258,-0.14438708124288357,-0.1096695934923595,0.007310601539586514,-0.10739550028311662,0.018533322105831473,-0.03271548562812132,-0.24519737049050505,-0.30806051800061685,0.1780662900995944,-0.19030771154865977,-0.08514311222384752,-0.05873038912874495,0.04297220154775694,0.20851591272136805,0.0616441245114876
200077_s_at,-0.029314981797753603,0.11813916177605677,-0.04888410377186503,0.029130079867480063,-0.03348000757502767,0.02383260649575014,-0.023930153835555856,-0.08384450064903959,-0.10944722835944987,0.19699344557423792,-0.11504728315331647,-0.23100636332746127,0.07181071470031775,-0.05227350654116414,0.10545662186520133,0.0924971700149424
200078_s_at,0.18475952965069453,0.1481330643246066,-0.24321088265104596,0.05832077628141885,0.2778379030816831,-0.05275734762629902,0.3536758414208334,0.2731341425956799,0.03504555635231288,0.024385764457903747,-0.12044253327641208,-0.14563360966683714,0.22031577828141735,-0.216142747519128,0.019540333716497216,-0.11526112701829039
200079_s_at,-0.35349698410483654,0.19567173541094185,-0.0669832044061005,0.05731450018065676,0.2249497839654362,0.0901466195799312,-0.07853403955210503,-0.06661394208876992,-0.23721803112744588,0.3777018089694071,0.06400123486303855,-0.692845202602042,0.7625001993376666,0.060297972689131285,-0.12061501337313807,0.1185374573433613
200080_s_at,0.00980590499546885,0.23409090569824365,-0.3133307158926062,0.07218336762470479,0.2601266592343272,0.21702964075049458,0.27881213143300876,0.08177780805727508,-0.17999959227550377,0.5269931694747507,-0.10952921963759188,-0.5811597222904332,0.4874588018880903,-0.07970088557247657,0.046474550779933566,0.17015370233448568
200081_s_at,-0.23032719729779583,0.17466142968713694,-0.13963038869975453,0.15868670583586297,0.42021561486558934,0.15252140749904441,-0.08374760616483101,-0.008814356547931723,-0.3613809278564206,0.968264275355299,0.1193840717152943,-0.7606952284782746,0.7440500656424005,0.14420479326858704,0.03724154093190002,0.18207204964511536
200082_s_at,-0.20862149336977698,0.38286459198662826,0.03196482998194128,0.044949311880190024,0.09606547986159164,0.2207632895909768,-0.24463362521067822,0.11032957800063858,-0.34086029654188454,1.198914552971547,0.03437771533230993,-0.78786771642811,0.7227254536329681,0.18475994710005494,0.1075072894575051,0.21111675767453075
200083_at,-0.001055018167848587,0.13144545297971355,-0.12368498334706146,-0.18201873560463966,0.4183812020187121,0.030435502617302213,0.029479538373124115,0.04750782614394744,0.0821316760686317,0.15059375325309343,0.09362663486488199,-0.4590339263636656,0.4247965285934896,0.021081924096916893,0.44482575087921017,-0.2642164965755587
200084_at,-0.1893651071749476,0.13556590623477938,0.02723543729176736,-0.14540408733983234,0.33410748479923136,0.04839186784455318,0.04979764511764273,0.008761827980123371,-0.25142587534310934,0.35470419385259344,0.11907870137157328,-0.4859682099586493,0.6255222036427535,-0.0066095395141339,0.020614971658793557,-0.03687192995053845
200085_s_at,-0.11135602698638358,0.25599593797695963,0.16346257372668127,-0.34793705125034347,-0.03721853331567093,0.27204786121273994,-0.05890149683720569,0.20742881462581053,-0.40646191065552184,-0.06626170516068797,-0.1322337775301623,-0.28402955563532206,0.3105778413941662,0.019562826932955524,0.09878172217087045,0.059976974554370344
200086_s_at,-0.2177449592849845,0.27911947589714625,0.09700305684649368,0.27133905479189835,0.4348351919471085,0.07093585548793513,-0.22746777673737917,0.12356241042081706,-0.11551522100110301,0.39699064228257974,0.1432053208683337,-0.6797441640900894,0.5545756479415829,0.05004548702976486,0.051354349127445964,0.1512349014753367
200087_s_at,-0.20706846202669116,0.3550833271529221,0.12996747043778,-0.0440366340668934,0.32621331655159835,0.10670837696750102,0.12087653542351884,-0.05936983512425442,-0.17025682951749044,0.46818121494010967,0.04749477721952555,-0.8099180057640938,0.7607711143407263,-0.006415763347270342,0.2727423510289011,0.08225477477058796
200088_x_at,-0.30374100939375115,0.2970860054961566,-0.07825344426235592,0.1426861975110203,0.2982822139639154,0.21368872524137217,-0.14878356393087167,0.08070840219211028,-0.1532866807666906,0.698120510103192,0.15437832282286745,-0.9004614026049236,0.7774634675870695,0.14573593519278916,-0.0376832742146167,0.08895933582357696
200089_s_at,-0.5882405257365315,0.07577735545569197,0.24843595444658906,0.1376095428400621,0.49577725527074,0.37851561541861134,0.0018715691519659572,0.21692285284542923,-0.14626645650929593,0.32686946013536744,0.18885249834465867,-0.5359283155412964,0.5375622290038757,-0.05571428265892564,0.12324476348895086,-0.0030421021173037133
200090_at,-0.11546146243849709,0.21655342607552175,0.4340488367537727,-0.2883277800417865,0.3212408429325855,0.3692873295300192,-0.0690774729390009,0.15606927895752154,-0.026600030822343967,0.2576329939357649,0.20181604264771735,-0.6534284399566115,0.6003455581070023,0.03370724442729678,0.12467896452613747,-0.0012760399936899702
200091_s_at,-0.8127438984874971,0.08662323602633837,0.23733511740040747,0.04540946718535199,0.2767895278906565,0.32771980049190397,-0.03981753868399007,0.08678033986548073,-0.22916538677602372,0.6153879153437645,0.2508185925275015,-0.9010785525854876,0.6715281673322275,-0.09739582985961093,-0.20024914523805748,0.19020134621085294
